ID,Vsqmin,Vsqmax,Root,G,B,Qmin,Qmax
10060063,0.902502,1.102508,0,0,0,0,0
10060064,0.902502,1.102508,0,0,0,0,0
10060065,0.902502,1.102508,0,0,0,0,0
10060066,0.902502,1.102508,0,0,0,0,0
10060067,0.902502,1.102508,0,0,0,0,0
10060068,0.902502,1.102508,0,0,0,0,0
10060069,0.902502,1.102508,0,0,0,0,0
10060070,0.902502,1.102508,0,0,0,0,0
10060071,0.902502,1.102508,0,0,0,0,0
10060072,0.902502,1.102508,0,0,0,0,0
10060073,0.902502,1.102508,0,0,0,0,0
10060074,0.902502,1.102508,0,0,0,0,0
10060075,0.902502,1.102508,0,0,0,0,0
10060076,0.902502,1.102508,0,0,0,0,0
10060077,0.902502,1.102508,0,0,0,0,0
10060078,0.902502,1.102508,0,0,0,0,0
10100000,0.902494,1.102494,0,0,0,0,0
10100001,0.902494,1.102494,0,0,0,0,0
10100002,0.902494,1.102494,0,0,0,0,0
10100003,0.902494,1.102494,0,0,0,0,0
10100004,0.902494,1.102494,0,0,0,0,0
10100005,0.902494,1.102494,0,0,0,0,0
10100006,0.902494,1.102494,0,0,0,0,0
10100007,0.902494,1.102494,0,0,0,0,0
10100008,0.902494,1.102494,0,0,0,0,0
10100009,0.902494,1.102494,0,0,0,0,0
10100010,0.902494,1.102494,0,0,0,0,0
10100011,0.902494,1.102494,0,0,0,0,0
10100012,0.902494,1.102494,0,0,0,0,0
10100013,0.902494,1.102494,0,0,0,0,0
10100014,0.902494,1.102494,0,0,0,0,0
10100015,0.902494,1.102494,0,0,0,0,0
10100016,0.902494,1.102494,0,0,0,0,0
10100017,0.902494,1.102494,0,0,0,0,0
10100018,0.902494,1.102494,0,0,0,0,0
10100019,0.902494,1.102494,0,0,0,0,0
10100020,0.902494,1.102494,0,0,0,0,0
10100021,0.902494,1.102494,0,0,0,0,0
10100022,0.902494,1.102494,0,0,0,0,0
10100023,0.902494,1.102494,0,0,0,0,0
10100024,0.902494,1.102494,0,0,0,0,0
10100025,0.902494,1.102494,0,0,0,0,0
10100026,0.902494,1.102494,0,0,0,0,0
10100027,0.902494,1.102494,0,0,0,0,0
10100028,0.902494,1.102494,0,0,0,0,0
10100029,0.902494,1.102494,0,0,0,0,0
10100030,0.902494,1.102494,0,0,0,0,0
10100031,0.902494,1.102494,0,0,0,0,0
10100032,0.902494,1.102494,0,0,0,0,0
10100033,0.902494,1.102494,0,0,0,0,0
10100034,0.902494,1.102494,0,0,0,0,0
10100035,0.902494,1.102494,0,0,0,0,0
10100036,0.902494,1.102494,0,0,0,0,0
10100037,0.902494,1.102494,0,0,0,0,0
10100038,0.902494,1.102494,0,0,0,0,0
10120000,0.902502,1.102508,0,0,0,0,0
10120001,0.902502,1.102508,0,0,0,0,0
10120002,0.902502,1.102508,0,0,0,0,0
10120003,0.902502,1.102508,0,0,0,0,0
10120004,0.902502,1.102508,0,0,0,0,0
10120005,0.902502,1.102508,0,0,0,0,0
10120006,0.902502,1.102508,0,0,0,0,0
10120007,0.902502,1.102508,0,0,0,0,0
10120008,0.902502,1.102508,0,0,0,0,0
10120009,0.902502,1.102508,0,0,0,0,0
10120010,0.902502,1.102508,0,0,0,0,0
10120011,0.902502,1.102508,0,0,0,0,0
10120012,0.902502,1.102508,0,0,0,0,0
10120013,0.902502,1.102508,0,0,0,0,0
10120014,0.902502,1.102508,0,0,0,0,0
10120015,0.902502,1.102508,0,0,0,0,0
10120016,0.902502,1.102508,0,0,0,0,0
10120017,0.902502,1.102508,0,0,0,0,0
10120018,0.902502,1.102508,0,0,0,0,0
10120019,0.902502,1.102508,0,0,0,0,0
10120020,0.902502,1.102508,0,0,0,0,0
10120021,0.902502,1.102508,0,0,0,0,0
10120022,0.902502,1.102508,0,0,0,0,0
10120023,0.902502,1.102508,0,0,0,0,0
10120024,0.902502,1.102508,0,0,0,0,0
10120025,0.902502,1.102508,0,0,0,0,0
10120026,0.902502,1.102508,0,0,0,0,0
10120027,0.902502,1.102508,0,0,0,0,0
10120028,0.902502,1.102508,0,0,0,0,0
10120029,0.902502,1.102508,0,0,0,0,0
10120030,0.902502,1.102508,0,0,0,0,0
10120031,0.902502,1.102508,0,0,0,0,0
10120032,0.902502,1.102508,0,0,0,0,0
10120033,0.902502,1.102508,0,0,0,0,0
10120034,0.902502,1.102508,0,0,0,0,0
10120035,0.902502,1.102508,0,0,0,0,0
10120036,0.902502,1.102508,0,0,0,0,0
10120037,0.902502,1.102508,0,0,0,0,0
10120038,0.902502,1.102508,0,0,0,0,0
10120039,0.902502,1.102508,0,0,0,0,0
10120040,0.902502,1.102508,0,0,0,0,0
10120041,0.902502,1.102508,0,0,0,0,0
10120042,0.902502,1.102508,0,0,0,0,0
10120043,0.902502,1.102508,0,0,0,0,0
10120044,0.902502,1.102508,0,0,0,0,0
10120045,0.902502,1.102508,0,0,0,0,0
10120046,0.902502,1.102508,0,0,0,0,0
10120047,0.902502,1.102508,0,0,0,0,0
10120048,0.902502,1.102508,0,0,0,0,0
10120049,0.902502,1.102508,0,0,0,0,0
10120050,0.902502,1.102508,0,0,0,0,0
10120051,0.902502,1.102508,0,0,0,0,0
