Node,forT,P,Q
1249,91,-1.2599204206,0.0000000000
1249,92,-1.2752138476,0.0000000000
1250,89,-0.2824273108,0.0000000000
1250,90,-0.2738003877,0.0000000000
1250,91,-0.2669331185,0.0000000000
1250,92,-0.2618306623,0.0000000000
1251,89,-0.8363092363,0.0000000000
1251,90,-0.7944981148,0.0000000000
1251,91,-0.7537255215,0.0000000000
1251,92,-0.7140177181,0.0000000000
1252,89,0.3067710308,0.0000000000
1252,90,0.3068165174,0.0000000000
1252,91,0.3071960927,0.0000000000
1252,92,0.3080095162,0.0000000000
1253,89,-0.1780684351,0.0000000000
1253,90,-0.1795839185,0.0000000000
1253,91,-0.1810986114,0.0000000000
1253,92,-0.1826191283,0.0000000000
1261,89,0.0000000000,0.0000000000
1261,90,0.0000000000,0.0000000000
1261,91,0.0000000000,0.0000000000
1261,92,0.0000000000,0.0000000000
1262,89,0.0000000000,0.0000000000
1262,90,0.0000000000,0.0000000000
1262,91,0.0000000000,0.0000000000
1262,92,0.0000000000,0.0000000000
1263,89,0.3452678381,0.0000000000
1263,90,0.3401296612,0.0000000000
1263,91,0.3337334849,0.0000000000
1263,92,0.3319529901,0.0000000000
1264,89,0.3128264081,0.0000000000
1264,90,0.3149007379,0.0000000000
1264,91,0.3162421599,0.0000000000
1264,92,0.3170212624,0.0000000000
1265,89,-0.5833809552,0.0000000000
1265,90,-0.5509014389,0.0000000000
1265,91,-0.5002966202,0.0000000000
1265,92,-0.4292390550,0.0000000000
1266,89,-0.6678961833,0.0000000000
1266,90,-0.6444416184,0.0000000000
1266,91,-0.6012225454,0.0000000000
1266,92,-0.5350446559,0.0000000000
1267,89,-1.8809820048,0.0000000000
1267,90,-1.4185047881,0.0000000000
1267,91,-1.1643772181,0.0000000000
1267,92,-1.0436595826,0.0000000000
1268,89,-0.0219671355,0.0000000000
1268,90,-0.0229886819,0.0000000000
1268,91,-0.0229748162,0.0000000000
1268,92,-0.0218737922,0.0000000000
1269,89,0.0124653661,0.0000000000
1269,90,0.0147127826,0.0000000000
1269,91,0.0203936182,0.0000000000
1269,92,0.0297311041,0.0000000000
1270,89,-0.1416429205,0.0000000000
1270,90,-0.1386349802,0.0000000000
1270,91,-0.1297443062,0.0000000000
1270,92,-0.1146025392,0.0000000000
1271,89,0.0618980627,0.0000000000
1271,90,0.0648158410,0.0000000000
1271,91,0.0707322866,0.0000000000
1271,92,0.0803211058,0.0000000000
1272,89,0.3239836748,0.0000000000
1272,90,0.3246905062,0.0000000000
1272,91,0.3254011626,0.0000000000
1272,92,0.3261884865,0.0000000000
1273,89,0.3171910272,0.0000000000
1273,90,0.3182992020,0.0000000000
1273,91,0.3193926594,0.0000000000
1273,92,0.3204238440,0.0000000000
1274,89,0.3395635879,0.0000000000
1274,90,0.3399553630,0.0000000000
1274,91,0.3403182625,0.0000000000
1274,92,0.3406487507,0.0000000000
1275,89,-0.0212962688,0.0000000000
1275,90,-0.0207051913,0.0000000000
1275,91,-0.0201521977,0.0000000000
1275,92,-0.0196136974,0.0000000000
1276,89,0.3231567613,0.0000000000
1276,90,0.3202982537,0.0000000000
1276,91,0.3190299522,0.0000000000
1276,92,0.3204632065,0.0000000000
1277,89,-0.0676098895,0.0000000000
1277,90,-0.0705524152,0.0000000000
1277,91,-0.0707585697,0.0000000000
1277,92,-0.0690470580,0.0000000000
1278,89,-0.4127261188,0.0000000000
1278,90,-0.4001362498,0.0000000000
1278,91,-0.3938112745,0.0000000000
1278,92,-0.3951187704,0.0000000000
1279,89,-0.4770256609,0.0000000000
1279,90,-0.4491756897,0.0000000000
1279,91,-0.4341144659,0.0000000000
1279,92,-0.4170525588,0.0000000000
1280,89,-0.2887943795,0.0000000000
