Node,QtBids,QBid,QBidSeg,forT,QuantityLoQ,PriceLoQ,QuantityHiQ,PriceHiQ,Xlb,Xub,AlphaOmegaSet,NoNewAct,solution
10150022,112,338,378,2,0,-3,-0.058358233,-3,0,1,0,0,2.63E-08
10150022,112,339,379,3,0,-3,-0.065957813,-3,0,1,0,0,2.84E-08
10150022,112,340,380,4,0,-3,-0.078313003,-3,0,1,0,0,6.71E-08
10150023,113,341,381,1,0,-3,-0.110489864,-3,0,1,0,0,1.31E-08
10150023,113,342,382,2,0,-3,-0.120776117,-3,0,1,0,0,1.17E-08
10150023,113,343,383,3,0,-3,-0.136503936,-3,0,1,0,0,1.22E-08
10150023,113,344,384,4,0,-3,-0.162073795,-3,0,1,0,0,2.59E-08
10150024,114,345,385,1,0,-4.7,-0.292263723,-4.7,0,1,0,0,4.77E-09
10150024,114,345,386,1,-0.292263723,-3,-0.660825301,-3,0,1,0,0,3.65E-09
10150024,114,346,387,2,0,-4.7,-0.319472542,-4.7,0,1,0,0,4.30E-09
10150024,114,346,388,2,-0.319472542,-3,-0.722346024,-3,0,1,0,0,3.31E-09
10150024,114,347,389,3,0,-4.7,-0.361075191,-4.7,0,1,0,0,4.43E-09
10150024,114,347,390,3,-0.361075191,-3,-0.816412037,-3,0,1,0,0,3.38E-09
10150024,114,348,391,4,0,-4.7,-0.428711642,-4.7,0,1,0,0,9.55E-09
10150024,114,348,392,4,-0.428711642,-3,-0.969341992,-3,0,1,0,0,6.96E-09
10060000,115,349,393,1,0,-4.7,-1.115194363,-4.7,0,1,0,0,1.24E-09
10060000,115,349,394,1,-1.115194363,-3,-9.312817234,-3,0,1,0,0,1.63E-10
10060000,115,350,395,2,0,-4.7,-1.219015393,-4.7,0,1,0,0,1.13E-09
10060000,115,350,396,2,-1.219015393,-3,-10.17791382,-3,0,1,0,0,1.50E-10
10060000,115,351,397,3,0,-4.7,-1.377759145,-4.7,0,1,0,0,1.00E-09
10060000,115,351,398,3,-1.377759145,-3,-11.50060441,-3,0,1,0,0,1.32E-10
10060000,115,352,399,4,0,-4.7,-1.635840401,-4.7,0,1,0,0,8.48E-10
10060000,115,352,400,4,-1.635840401,-3,-13.64924777,-3,0,1,0,0,1.12E-10
10060003,116,353,401,1,0,-3,-0.191758039,-3,0,1,0,0,7.68E-09
10060003,116,354,402,2,0,-3,-0.209610099,-3,0,1,0,0,7.07E-09
10060003,116,355,403,3,0,-3,-0.23690614,-3,0,1,0,0,6.16E-09
10060003,116,356,404,4,0,-3,-0.281283297,-3,0,1,0,0,5.08E-09
10060004,117,357,405,1,0,-3,-0.144806896,-3,0,1,0,0,1.07E-08
10060004,117,358,406,2,0,-3,-0.158287955,-3,0,1,0,0,9.82E-09
10060004,117,359,407,3,0,-3,-0.178900676,-3,0,1,0,0,8.55E-09
10060004,117,360,408,4,0,-3,-0.212412274,-3,0,1,0,0,6.92E-09
10060005,118,361,409,1,0,-3,-0.261765479,-3,0,1,0,0,5.74E-09
10060005,118,362,410,2,0,-3,-0.286135008,-3,0,1,0,0,5.29E-09
10060005,118,363,411,3,0,-3,-0.323396346,-3,0,1,0,0,4.62E-09
10060005,118,364,412,4,0,-3,-0.383974812,-3,0,1,0,0,3.84E-09
10060006,119,365,413,1,0,-3,-0.031853049,-3,0,1,0,0,6.12E-08
10060006,119,366,414,2,0,-3,-0.034818466,-3,0,1,0,0,5.55E-08
10060006,119,367,415,3,0,-3,-0.039352628,-3,0,1,0,0,4.80E-08
10060006,119,368,416,4,0,-3,-0.046724145,-3,0,1,0,0,3.80E-08
10060007,120,369,417,1,0,-3,-0.211506405,-3,0,1,0,0,7.11E-09
10060007,120,370,418,2,0,-3,-0.231196975,-3,0,1,0,0,6.56E-09
10060007,120,371,419,3,0,-3,-0.261304122,-3,0,1,0,0,5.72E-09
10060007,120,372,420,4,0,-3,-0.310251499,-3,0,1,0,0,4.66E-09
10060008,121,373,421,1,0,-3,-0.110204049,-3,0,1,0,0,1.44E-08
10060008,121,374,422,2,0,-3,-0.120463694,-3,0,1,0,0,1.32E-08
10060008,121,375,423,3,0,-3,-0.136150828,-3,0,1,0,0,1.15E-08
10060008,121,376,424,4,0,-3,-0.161654544,-3,0,1,0,0,9.26E-09
10060009,122,377,425,1,0,-3,-0.342730341,-3,0,1,0,0,4.24E-09
10060009,122,378,426,2,0,-3,-0.37463744,-3,0,1,0,0,3.92E-09
10060009,122,379,427,3,0,-3,-0.423423824,-3,0,1,0,0,3.44E-09
10060009,122,380,428,4,0,-3,-0.502739394,-3,0,1,0,0,2.84E-09
10060010,123,381,429,1,0,-3,-0.117429264,-3,0,1,0,0,1.35E-08
10060010,123,382,430,2,0,-3,-0.128361553,-3,0,1,0,0,1.26E-08
10060010,123,383,431,3,0,-3,-0.145077171,-3,0,1,0,0,1.09E-08
10060010,123,384,432,4,0,-3,-0.172252964,-3,0,1,0,0,8.62E-09
10060011,124,385,433,1,0,-3,-0.133563783,-3,0,1,0,0,1.16E-08
10060011,124,386,434,2,0,-3,-0.145998145,-3,0,1,0,0,1.07E-08
10060011,124,387,435,3,0,-3,-0.16501045,-3,0,1,0,0,9.30E-09
10060011,124,388,436,4,0,-3,-0.195920137,-3,0,1,0,0,7.56E-09
10060012,125,389,437,1,0,-3,-0.141742573,-3,0,1,0,0,1.12E-08
10060012,125,390,438,2,0,-3,-0.154938353,-3,0,1,0,0,1.03E-08
10060012,125,391,439,3,0,-3,-0.175114879,-3,0,1,0,0,8.90E-09
10060012,125,392,440,4,0,-3,-0.207917323,-3,0,1,0,0,7.12E-09
10060013,126,393,441,1,0,-3,-0.118129672,-3,0,1,0,0,1.32E-08
10060013,126,394,442,2,0,-3,-0.129127167,-3,0,1,0,0,1.23E-08
10060013,126,395,443,3,0,-3,-0.145942484,-3,0,1,0,0,1.06E-08
10060013,126,396,444,4,0,-3,-0.173280368,-3,0,1,0,0,8.59E-09
10060014,127,397,445,1,0,25.1,0.009,25.1,0,1,0,0,1
10060014,127,397,446,1,0,-3,-0.341618758,-3,0,1,0,0,4.30E-09
10060014,127,398,447,2,0,25.1,0.009,25.1,0,1,0,0,1
10060014,127,398,448,2,0,-3,-0.373422373,-3,0,1,0,0,3.97E-09
10060014,127,399,449,3,0,25.1,0.009,25.1,0,1,0,0,1
10060014,127,399,450,3,0,-3,-0.422050527,-3,0,1,0,0,3.48E-09
10060014,127,400,451,4,0,-25.1,-0.03,-25.1,0,1,0,0,8.00E-08
10060014,127,400,452,4,-0.03,-25.1,-0.531108852,-25.1,0,1,0,0,0
10060015,128,401,453,1,0,-3,-0.264446624,-3,0,1,0,0,5.66E-09
10060015,128,402,454,2,0,-3,-0.289065759,-3,0,1,0,0,5.22E-09
10060015,128,403,455,3,0,-3,-0.326708748,-3,0,1,0,0,4.57E-09
10060015,128,404,456,4,0,-3,-0.387907692,-3,0,1,0,0,3.78E-09
10060016,129,405,457,1,0,-3,-0.114147622,-3,0,1,0,0,1.40E-08
10060016,129,406,458,2,0,-3,-0.1247744,-3,0,1,0,0,1.29E-08
10060016,129,407,459,3,0,-3,-0.141022888,-3,0,1,0,0,1.13E-08
10060016,129,408,460,4,0,-3,-0.167439235,-3,0,1,0,0,8.89E-09
10060017,130,409,461,1,0,-3,-0.067571836,-3,0,1,0,0,2.53E-08
10060017,130,410,462,2,0,-3,-0.073862557,-3,0,1,0,0,2.31E-08
10060017,130,411,463,3,0,-3,-0.083481156,-3,0,1,0,0,2.00E-08
10060017,130,412,464,4,0,-3,-0.09911881,-3,0,1,0,0,1.59E-08
10060018,131,413,465,1,0,-3,-0.280884895,-3,0,1,0,0,5.18E-09
10060018,131,414,466,2,0,-3,-0.307034381,-3,0,1,0,0,4.79E-09
