ID,R,G,X,B,Pmin,Pmax,Qmin,Qmax,S,NodeFrom,NodeTo,DecNetFrom,DecNetTo
33,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,108,109,IT_Transmission,IT_Transmission
34,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,151,152,IT_Transmission,IT_Transmission
35,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,156,157,IT_Transmission,IT_Transmission
36,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,153,154,IT_Transmission,IT_Transmission
37,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,153,155,IT_Transmission,IT_Transmission
38,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,173,174,IT_Transmission,IT_Transmission
39,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,173,175,IT_Transmission,IT_Transmission
40,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,173,176,IT_Transmission,IT_Transmission
41,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,186,187,IT_Transmission,IT_Transmission
42,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,186,187,IT_Transmission,IT_Transmission
43,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,186,187,IT_Transmission,IT_Transmission
44,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,190,191,IT_Transmission,IT_Transmission
45,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,188,189,IT_Transmission,IT_Transmission
46,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,199,51,IT_Transmission,IT_Transmission
47,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,50,51,IT_Transmission,IT_Transmission
48,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,50,52,IT_Transmission,IT_Transmission
49,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,116,117,IT_Transmission,IT_Transmission
50,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,115,118,IT_Transmission,IT_Transmission
51,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,183,184,IT_Transmission,IT_Transmission
52,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,183,185,IT_Transmission,IT_Transmission
53,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,200,201,IT_Transmission,IT_Transmission
54,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,205,206,IT_Transmission,IT_Transmission
55,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,207,208,IT_Transmission,IT_Transmission
56,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,207,209,IT_Transmission,IT_Transmission
57,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,438,439,IT_Transmission,IT_Transmission
58,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,266,267,IT_Transmission,IT_Transmission
59,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,266,268,IT_Transmission,IT_Transmission
60,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,276,277,IT_Transmission,IT_Transmission
61,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,276,278,IT_Transmission,IT_Transmission
62,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,272,274,IT_Transmission,IT_Transmission
63,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,272,275,IT_Transmission,IT_Transmission
64,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,272,273,IT_Transmission,IT_Transmission
65,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,102,103,IT_Transmission,IT_Transmission
66,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,146,147,IT_Transmission,IT_Transmission
67,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,192,193,IT_Transmission,IT_Transmission
68,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,244,245,IT_Transmission,IT_Transmission
69,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,244,246,IT_Transmission,IT_Transmission
70,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,398,402,IT_Transmission,IT_Transmission
71,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,398,403,IT_Transmission,IT_Transmission
72,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,303,404,IT_Transmission,IT_Transmission
73,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,304,404,IT_Transmission,IT_Transmission
74,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,400,404,IT_Transmission,IT_Transmission
